Sex,Age,TV01,TV02,TV03,TV04,TV05,TV06,TV07,TV08,TV09,TV10,TV11,TV12,TV13,TV14,TV15,TV16,TV17,TV18,TV19,TV20,TV21,TV22,TV23,TV24,TV25,TV26,TV27,TV28,TV29,TV30,TV31,TV32,TV33,TV34,TV35,TV36,TV37,TV38,TV39,TV40,TV41,TV42,TV43,TV44,TV45,P_ID,Note
2,35,短刀,銅貨,登山,踊り子,洪水,嵐,メス,時限爆弾,水滴,水晶細工,薄墨,角砂糖,電気,工場,王女,暗号,石碑,鏡,天使,ちょうちん,雪崩,腫瘍,階段,吐息,王様,牢獄,季節,年貢,ひとだま,天秤,亀,濃霧,建物,灯火,通り魔,海底,ベール,噴火,湖,蛭,花,時計,海,花束,檻,442799,名詞を書き写しているだけ
2,42,突きさす、鋭い,丸い、輝く,きつい、しんどい,動く、ゆらめく,流れる、とめどない,暴れる、混乱する,痛い、鋭い,危険な、唐突な,丸い、小さい,はかない、繊細な,暗い、くすんだ,四角い、かたい,痛い、激しい,縛られる、群がる,自由だ、きままだ,難しい、難解だ,かたい、ゆるぎない,写す、澄んだ,かわいい、無邪気な,赤い、丸い,とまらない、とめどない,不気味な、悪い,しんどい、つらい,かすかな、やわらかい,強い、たくましい,苦しい、耐えがたい,移りゆく、変化する,つらい、苦しい,一つの、生きている,動く、揺れる,かたい、かたくなだ,見えない、塞がれる,屈強な、頑固な,かすかな、明るい,一瞬だ、非道だ,暗い、深い,つつみこむ、まとわりつく,熱い、激しい,深い、潤った,不気味な、気持ち悪い,輝く、明るい,進む、動く,広い、続く,香る、鮮やか,かたい、強固だ,618221,
1,39,すぐ切る,赤茶色,積み重ね,舞っている,切羽詰まる,突然,切り裂く,身体に悪い,球体,繊細,黒い雲,四角い,ショック,教育,自由,記号,大きい,空模様,かわいい,熟れた実,大勢,悪い所,一貫校,そよ風,大きい,屋内作業,変わりやすい,積み重ね,赤い,判断,硬い,先が見えない,積み重ね,期待しない,突発的,気分、沈む,覆う,感情,涙,吸いつく,明るい,脈打つ,揺らぎ,花の匂い,型にはまっている,963833,一つしか書いていない
2,38,きつい、厳しい,美しい、貴重だ、優しい,大変だ、辛い、しんどい,踊る、上手だ、可憐だ,忙しい、大変だ、厳しい,うるさい、暴れる、厳しい,厳しい、辛い、息苦しい,危険だ、破壊的だ,綺麗だ、美しい、丸い,繊細だ、美しい、壊れそうだ,暗い、しんどい,壊れる、危険だ,痛い、明るい,忙しい、大変だ,可愛い、我儘だ,難しい、厳しい、しんどい,重い、硬い、煙たい,美しい、眺める,かわいい、笑う、小さい,小さい、可愛い、軽い,うるさい、危険だ,怖い、大きい、絶望だ,しんどい、苦しい、疲れる,小さい、重い,動かない、頑固だ,きつい、厳しい、辛い,幸せだ、温かい,厳しい、苦しい、大きい,丸い、赤い,厳しい、かたい,小さい、古い,狭い、白い,大きい、難しい、細かい,明るい、小さい,厳しい、突然だ,重い、暗い,暗い、狭い,怒る、怒鳴る,悲しい、感動的だ,汚い、茶色い,美しい、楽しい、明るい,細かい、神経質だ,広い、綺麗だ,素敵だ、可憐だ,狭い、厳しい,854398,
1,44,怖い、危険、冷たい,大らかだ、寂しい、せつない,難しい、ゆっくり、堅い,柔らかい、優雅だ、明るい,多い、大きい、怖い,危険、あっという間に、怖い,怖い、暗い、きつい,危ない、怖い、不安,丸い、素敵、輝いている,痛い、冷たい、硬い,暗い、辛い、悲しい,四角い、高い、甘い,痛い、怖い、大きい,汚い、堅い、高い,たくましい、かわいい、小さい,楽しい、明るい、多い,硬い、高い、勇ましい,大きい、同じ、多い,優しい、温かい、柔らかい,甘い、明るい、丸い,大きい、危険、怖い,怖い、不安だ、怪しい,ゆっくり、着実に、正しい,優しい、ゆっくり、小さい,大きい、偉大だ、三角,暗い、怖い、不安,温かい、明るい、大きい,多い、ひどい、暗い,熱い、悲しい、不安だ,正しい、正確、冷たい,硬い、汚い、ゆっくりと,冷たい、怖い、暗い,高い、屈強だ、正確,明るい、温かい、優しい,怖い、不安だ、暗い,暗い、怖い、悲しい,暗い、不安、寂しい,怖い、硬い、熱い,鋭い、大きい、澄んでいる,柔らかい、気持ちが悪い、怪しい,明るい、温かい、柔らかい,繊細だ、ゆっくり、進む,大きい、広い、自然だ,甘い、やさしい、温かい,堅い、冷たい、固まる,596296,
1,28,痛い、突き刺さる,反射する、光る,学ぶ、経験する,揺れる、優雅な,流れる、止まらない,止まらない、終わらない,女々しい、弱い,燃える、終わる、消える,澄み渡る、小さい,綺麗な、美しい,暗黒な、怪しい,崩れる、潰れる,痛い、音がする,学ぶ、広い、作業する,可愛らしい、気まぐれな,読める、解く,固い、割れにくい,美しい、広い,幼い、可愛い,変わった、小さい,多い、巻き込まれる,触れづらい、取れない、大きい,積み上げる、順序を積む,弱い、わずかな,巨大な、大きい、敵わない,働く、巨大な,色鮮やかな、めまぐるしい,納める、集める,綺麗な、生きている,公平な、ジャッジをする,固い、絞る,大きい、消えない,積み上げる、壊れやすい,消えそう、弱い,偶然な、予測がつかない,静寂な、音のない,包まれる、読めない、見えない,怒る、暴れる、大きい,見える、広い,小さい、変わった,美しい、綺麗な,動く、止まらない,広い、壮大な,香る、匂う,堅い、静かな,714743,
1,44,鋭い、痛い、危ない,オレンジ色だ、温かい、まぶしい,登る、一歩ずつ、高い,舞う、華やかな、美しい,あふれている、こぼれる、押し寄せる,激しい、恐ろしい、一時的な,切る、鋭い、痛い,危険な、燃える、爆発する,みずみずしい、白い、美しい,透明な、美しい、白い,モヤモヤする、暗い、不透明だ,四角い、白い、同じような,しびれる、ビリビリする、速い,画一的な、退屈な、不自由な,自由な、気ままな、勝手な,難解だ、読めない、難しい,不動の、堅い、大きい,光っている、まぶしい、透明な,かわいらしい、無垢の、小さい,赤い、垂れている、ぶら下がる,巨大だ、圧倒的だ、怖い,怪しい、除外できない、煩わしい,順序だった、徐々に、登る,かすかな、わずかな、少し,偉大だ、大きい、動かない,苦痛だ、光が無い、閉じている,変わりやすい、変化する、めまぐるしい,決まった、重たい、等しく,赤い、燃えている、儚い,公平だ、安定している、正しい,古い、汚い、臭い,真っ暗の、晴れない、見通せない,大きい、統一された、壊れない,燃えている、かすかな、明るい,突然だ、巡り合わせだ、先の読めない,深い、暗い、冷たい,薄暗い、不安だ、かすむ,烈火の如く、熱い、燃えている,反射する、透明な、美しい,分厚い、赤い、吸い付く,明るい、美しい、まぶしい,刻む、正確な、一定の,広い、美しい、綺麗な,華やかだ、美しい、綺麗だ,堅苦しい、狭い、閉鎖的な,966384,
2,28,突き刺さる、傷つく,赤い、綺麗だ,地道だ、過酷だ,優雅だ、美しい,速い、一瞬だ,荒れる、破壊する,弱々しい、不憫だ,短い、速い,流れる、美しい,細かい、綺麗だ,怪しい、濁っている,角ばっている、四角だ,恐ろしい、走る,機械的な、多い,可愛い、わがままだ,入り組む、難しい,固い、細長い,美しい、広い,可愛い、微笑ましい,ぶら下がる、奇妙だ,攻撃的だ、壊す,悪影響だ、悪い,地道だ、段階的な,静かだ、ささやかな,大きい、広い,過酷な、辛い,美しい、綺麗だ,少ない、低い,美しい、神秘的だ,公平だ、中立だ,遅い、静かだ,大きい、多い,整う、機械的だ,明るい、前向きだ,恐ろしい、未知だ,静かだ、広い,薄い、綺麗な,恐ろしい、怖い,青い、広い,不思議だ、面白い,明るい、美しい,刻む、速い,広い、青い,綺麗だ、美しい,厳しい、機械的だ,619505,
1,44,嫌だ、切れる、鋭い,綺麗、茶色い、悲しい,熱心だ、立ちはだかる、難しい,綺麗、妖艶だ、華やか,進む、過ぎる、溢れる,醜い、激しい、うるさい,攻撃する、責められる、鋭い,臭い、怖い、飛び散る,白い、硬い、高価だ,寒い、長い、固い,低い、重たい、ばやける,大きい、四角い、甘い,悲しい、明るい、必要だ,嫌だ、大きい、うるさい,かわいい、綺麗、鳴く,難しい、読めない、長い,長い、高い、硬い,青い、見つめる、対称的だ,無邪気だ、かわいい、優しい,渋い、甘い、赤い,騒々しい、寒い、巻き込まれる,怪しい、固い、腫れる,教わる、長い、疲れる,穏やか、心地よい、爽やか,高い、急だ、偉い,忙しい、暇だ、つらい,暖かい、暑い、寒い,増える、延びる、納める,赤い、暖かい、綺麗だ,正しい、間違い、ちょうどよい,汚い、絞る、臭い,怖い、見づらい、白い,理屈っぽい、難しい、大きい,明るい、期待する、黄色い,逆らう、従う、殺される,静だ、冷たい、暗い,幻想的、ぼやける、白い,恐い、激しい、熱い,見える、静かだ、透き通る,赤い、厚い、くわれる,明るい、綺麗だ、赤い,拍動する、進む、狂う,茶色い、青い、しょっぱい,匂う、高価だ、綺麗だ,だらしない、頑丈だ、出られない,926083,
1,25,鋭い、突き刺さる、痛い,丸い、儚い、赤い,高い、険しい、果て無い,美しい、華々しい,溢れる、動く、流れる,激しい、怖い,鋭い、尖っている,怖い、危険だ,儚い、白い、美しい,細かい、美しい、青い,黒い、暗い、滲んでいる,四角い、硬い、白い,危険だ、強い、恐ろしい,ナンセンスな、同じだ,わがままだ、気まぐれだ,難しい、楽しい,高い、硬い、登る,青い、広い、美しい,可愛い、純粋だ、愛らしい,明るい、丸い,激しい、怖い,重い、苦しい、疑い,厳しい、辛い、苦しい,弱々しい、薄い、軟弱だ,大きい、偉大だ,辛い、苦しい、厳しい,優しい、移ろいやすい、気が変わる,厳しい、コツコツと,美しい、妖しい、キレイ,難しい、厳しい、正確な,汚い、遅い,見えない、立ちはだかる、濃い,頑丈だ、大きい、高い,明るい、輝いている、光っている,怖い、突然だ,暗い、見えない、沈んでいる,見えない、包まれている、濃い,激しい、厳しい,キレイ、透き通っている、透明だ,分厚い、柔らかい,美しい、キレイ、華やかだ,動いている、速い,広い、美しい、壮大だ,美しい、キレイ,固い、縛る,643750,
