Sex,Age,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,P_ID,Note
1,49,するどい、短い,暗い、くすんでいる,もくもくと、登る,舞う、華やかな,あふれる、刻む,荒れる、壊れる,するどい、切り裂く,けむい、計る,小さい、すきとおる,透明な、反射する,薄い、ぼかす,白い、正確な,しびれる、つらぬく,正確な、生産する,かわいい、やわらかい,わからない、読めない,そびえ立つ、めだつ,うつす、ひろい,さわやか、ほがらか,ぶらさがる、列する,突然に、くずれる,痛い、知らず知らず,進む、上がる,やんわり、ほのか,おおきい、えらい,とらわれる、拘束する,色々ある、はぐくむ,とりたてる、少ない,神秘的、霊的,はかる、くらべる,かたい、かたまる,見通せない、見えない,整列する、整う,明るい、進む,突然に、知る由もなく,静観する、暗い,薄い、ごまかす,沸き立つ、あがる,澄んだ、静かな,ヌメヌメする、うるおう,はじける、華やか,刻む、正確に,広い、広大な,香る、さわやか,とらわれる、しばられる,911774,
1,34,鋭い、痛い、怖い,大きい、赤い、揺らめいた,地道な、果てしない、高い,軽やか、美しい,激しい、怖い、遠い,恐ろしい、激しい、危ない,鋭い、辛辣な,危ない、燃える、熱い,丸い、白い、小さい,脆い、長い、透明な,黒い、低い、鬱陶しい,甘い、四角い、多い,痛い、速い,冷たい、固い,尊大な、ふてぶてしい、可愛い,難しい、綺麗な、高度な,固い、白い、高い,美しい、透明な、平べったい,眩しい、弱い、小さい,丸い、落ちる、潰れる,恐ろしい、大きい、騒々しい,小さい、厄介な、新しい,危ない、長い、四角い,寒い、晴れやかな、白い,巨大な、動かせない、圧倒的な,苦しい、暗い、固い,華やかな、明るい、儚い,苦しい、重い、面倒な,赤い、美しい、怖い,公平な、あやふやな、重要な,臭い、汚い、汚れた,暗い、恐ろしい,堅苦しい、四角い、大きい,儚い、淡い、暖かい,怖い、速い、暗い,静かな、重い,薄い、暗い、寒々しい,赤い、暑い、大きい,揺れる、光る、映す,不気味な、柔らかい,広がる、眩しい、白い,速い、赤い、震える,黄色い、広い、暑い,華やかな、臭い、眩しい,固い、脆い、冷たい,989055,
2,35,鋭い,オレンジのような,困難な,優美だ,勢いのある,怖い,怖い,切羽詰まる,綺麗な,繊細な,薄暗い,固い,しびれる,規律のある,可憐な,難しい,冷たい,まぶしい,可愛い,個体の,もろい,怖い,厳しい,柔らかい,優美な,辛い,色々な顔がある,辛い,繊細な,平等な,長く使える,深い,固い,消えそうな,怖い,深い,不気味だ,恐れ多い,広い,しつこい,可愛い,緻密な,限りのない,香りのよい,厳しい,498992,一つしか書いていない
2,46,するどい、傷つく、嫌な,赤胴色の、うつくしい、尊い,長い、険しい、困難な,美しい、儚い、手に入らないような,流れる、加速する、飲み込まれる,巻き込まれる、激しい、おそろしい,切り刻まれる、痛い、傷つく,恐ろしい、危険な、怖い,美しい、丸い、儚い,繊細な、うつくしい、透明の,灰色の、広がる、くらい,壊れやすい、もろい、四角柱の,打たれる、驚く、一瞬の,大量生産な、判で押したように、うずめく,わがまま、気まま、気高い,読めない、むずかしい、分かりにくい,動かない、象徴的な、高い,映し出す、海の青のように、澄みわたる,可愛らしい、無垢な、大切な,丸い、きれいな、高い,群衆のように、増幅する、押しつぶされる,黒い、増殖する、悪い,段階的な、上昇する、過酷な,かすかな、感覚的な、気づかないような,不動な、ゆるぎない、貴い,辛い、きつい、嫌な,移ろいやすい、うきうきする、変わる,年々と、積み重なる、大変な,赤い、恐ろしい、ぽとりと,公平に、ゆらぐ、中立的な,動かない、孤独な、黒い,しんしんと、消し去れない、先が見えない,積み重なる、難しい、難解な,温かい、消えそうな、灯す,残忍な、恐ろしい、ひどい,静かな、押し黙まる、真っ暗な,先の見えない、分からない、真っ白な,ほとばしる、止められない、激しい,澄んでいる、美しい、鏡のような,ねばねばした、恐ろしい、すいつく,美しい、優しい、朗らかな,力強い、定期的な、ドンドンと,波立つ、一面に、美しい,かぐわしい、崇高な、華やかな,束縛する、辛い、大変な,510088,
1,26,切れる、突き刺さる、痛い,美しい、反射する,終わりのない、広い,ゆらゆらと、踊るように、優雅な,止まらない、流れる,荒々しい、暴れる,女々しい、弱々しい,終わりがある、消える,一滴の、小さな,繊細な、壊れやすい,暗い、黒い,固い、壊れる,明るい、痛い,学ぶ、広い,幼い、可愛い,読めない、わからない,固い、壊れない,広い、綺麗な,濁りのない、愛くるしい,硬い、変形した,怖い、流れる、恐ろしい,膨らんだ、大きな,上る、積み上げる,微かな、弱い,広々とした、堂々とした,課せられた、与えられた,美しい、変わりやすい,納める、重なる,綺麗な、美しい,公平な、裁く,動かない、硬い,見えない、濃い,積み重なる、壊れる,わずかな、少しの,避けられない、偶発的な,深い、暗い,触れない、見えない,真っ赤な、荒い,反射する、映し出す,柔らかい、みずみずしい,可愛い、綺麗な,止まらない、一定の,広い、大きな,香る、嬉しい,固い、強い,942353,
2,40,鋭い、怖い,赤い、輝く,地道、積み重ね、大変,華やか、回る、飛ぶ,激しい、流れる、怖い,激しい、怖い、動けない,鋭い、痛い、怖い,辛い、怖い、痛い,綺麗、みずみずしい,綺麗、透明、澄んでいる,暗い、悲しい,四角い、均一,強い、痛い、早い,一定、大きい、,華やか、わがまま、,難しい、謎、不明瞭,大きい、硬い,きれい、澄んでいる、明るい,かわいい、綺麗、純粋,丸い、赤い,強い、大きい、激しい,怖い、暗い,ゆっくり、積み重ねる,穏やか、熱い、,偉大、大きい,辛い、厳しい、暗い,変わりやすい、楽しい,辛い、大事,丸い、儚い,複雑、厳しい、不安定,黒い、汚い,重い、不安、恐怖,硬い、大きい、強い,明るい、憧れ,怖い、急に、激しい,深い、暗い、,不明瞭、白い,激しい、怖い、大きい,澄んでいる、綺麗、穏やか,醜い、太い,綺麗、華やか、明るい,正確、一定、,広い、穏やか,香り、たくさん、甘い,堅い、くらい、厳しい,951476,
1,48,嫌味、切る、痛み,赤い、丸い、金属,苦労、昇、先が見えない,ひらひら、軽い、飛ぶ,流れ、勢い、押される,突然、襲われる、押し寄せる,切る、痛み、責められる,煙、増える、積み重ね,きれい、丸い、転がる,氷、低温、美しい,薄い、流れる、儚い,硬い、白い,ぶれる、痺れる、痛い,集まる、集団、統一,小さい、輝く、振る舞う,線、音符、並ぶ,高い、硬い、重い,広い、映す、青い,宝、可愛い,果物、熟す,人、団体、押し寄せる,疑い、信用、深い,積み重ね、一つ、重ねる,弱い、呼吸、不調,大きい、そびえたつ、唯一,辛い、不自由、鎖,情熱、熱い,納める、積む、払う,花、開く、魂,判断、公平、信憑性,布、搾る、動かない,掴めない、見えない,考え、成立、そびえる,暗がり、先に、望,時、突然、襲う,黙る、深い、暗い,視界、見えない、まとわりつく,怒り、勢い、広がる,澄んだ、水、深さ,厚み、張り付く、虫,明るい、きれい、凡庸,重要、一定、繊細,色、広い、流れる,香、広がる、抱きかかえる,固い、あいさつ,391798,
1,34,鋭い、腹が立つ、黒い,赤い、暖かい、硬い,難しい、疲れる、地道な,綺麗な、可憐な、揺れる,焦り、大きな、早い,激しい、黒い、早い,鋭い、冷たい、暗い,焦り、黒い、暗い,綺麗な、清潔な、丸い,尖った、綺麗な、美しい,黒い、冷たい、薄い,甘い、高い、硬い,黄色い、大きい、鋭い,冷たい、淡々とした、暗い,小さい、大きい、黒い,難しい、黒い、綺麗な,黒い、高い、堂々とした,美しい、青い、光り,可愛い、小さい、癒される,綺麗な、丸い、落ち着いた,高い、白い、強い,汚い、不快な、苦しい,登る、厳しい、賢い,白い、冷たい、暗い,堂々とした、大きい、偉そうな,黒い、暗い、汚い,暖かい、赤い、綺麗な,黒い、眩しい、光り,綺麗な、赤い、美しい,揺れる、清潔、温和な,汚い、遅い、硬い,暗い、黒い、焦り,賢い、高い、広い,明るい、赤い、綺麗な,情熱的な、急激な、変化のある,冷たい、深い、青い,大きい、落ち着かない、白い,激しい、爆発、怒り,遅い、大きい、綺麗な,赤い、端正な、冷たい,明るい、美しい、暖かい,丸い、赤い、焦り,広大な、壮大な、青い,香り、綺麗な、華やかな,冷たい、明るい、黒い,997404,
1,49,鋭い、切れ味,暮れる、景色、染める,着実、進歩、勉強,きらびやか、色気、華麗,押し寄せる、不安、災害,巻き起こる、群衆、事件,鋭利、傷つける、刺さる,着火、危険、有害,儚い、透明感、希少,自然、雪国、氷点下,曇り、穏やかでない、落ち込む,四角形、無機質、白い,突然、激しい、驚き,無機質、機械的,気高い、美しい、自由,難解、知識,そびえ立つ、灰色、高い,映し出す、晴天、青い,無邪気、無垢、純真,丸い、田舎、お祭り,群衆、反発、結束,混迷、解決、糸口,一歩一歩、学ぶ、着実,かすかな、春、集中,そびえる、構える、君臨,奴隷、不自由,移り気、想い、一途,税金、不景気、経済,美しい、赤い、日本,測る、反則、敵味方,固い、乾燥,迷い、立ち込める、動揺,几帳面、固める,かすかな、少ない、孤独,突然、人生、犯罪,浮上、見えない、不安,包まれる、謎、葬られる,烈火、爆発、燃える,透明、見越す、卓越,赤い、血液,明るい、春、陽気,刻む、機械的、永遠,広大、広がる、自然,美しい、高貴、気品,厳しい、整然,640501,
2,50,鋭い、険しい、傷つく,まばゆい、光っている、丸い,上る、努力する、歩く,動く、きらびやかだ、舞っている,流れる、速い、漏れる,過激な、怖い、すさまじい,切れる、言い得る、まっすぐだ,隠す、飛び散る、汚れる,透明な、混じりけのない、淡い,透明な、壊れやすい、光っている,暗い、はっきりしない、ぼやける,白い、四角い、小さい,光る、走る、しびれる,大きい、繰り返す、守る,構えている、品格がある、立派だ,難しい、決まった、並んでいる,高い、硬い、そそり立っている,光る、広い、輝く,正直だ、生きる、必要な,赤い、丸い、釣り下がる,押し寄せる、崩れる、落ちてくる,悪い、重い、しつこい,上る、進む、努力する,暖かい、近い、静かな,大きい、どっしりした、動かない,辛い、苦しい、過酷な,変わる、移ろう、とどまらない,増える、大きい、夢をみる,重い、存在する、丸い,真剣だ、迷っている、考えている,汚れる、捨てる、繰り返す,苦しい、重い、辛い,頑固な、動かない、硬い,明るい、見える、祈る,驚く、見えない、急な,深い、静かな、重い,見えない、暗い、遠い,広がる、吹き出す、飛び散る,澄んだ、青々としている、きれいだ,離れない、吸う、柔らかい,優しい、明るい、きれいだ,確かだ、止まらない、動く,流れる、揺れる、広い,豪華な、華やかな、香る,堅い、清い、真面目な,442542,
